Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2012-11-04 02:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 03:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 04:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 05:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 06:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 07:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 08:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 09:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 10:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 11:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 12:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 13:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 14:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 15:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 16:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 17:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 18:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 19:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 20:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 21:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 22:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-04 23:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 00:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 01:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 02:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 03:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 04:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 05:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 06:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 07:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 08:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 09:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 10:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 11:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 12:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 13:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 14:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 15:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 16:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 17:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 18:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 19:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 20:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 21:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 22:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-05 23:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 00:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 01:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 02:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 03:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 04:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 05:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 06:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 07:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 08:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 09:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 10:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 11:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 12:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 13:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 14:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 15:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 16:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 17:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 18:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 19:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 20:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 21:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 22:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-06 23:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-07 00:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-07 01:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-07 02:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
2012-11-07 03:00:00,31,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9992.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,1.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0
